index,type_l,ville,arr,n_pieces,n_chambres,surface_m2,prix,prix_m2
640,appartement,Paris,18,2.0,1.0,28.0,318000.0,11357.0
641,appartement,Paris,19,2.0,1.0,44.0,395000.0,8977.0
642,appartement,Paris,16,5.0,3.0,100.0,1270000.0,12700.0
643,appartement,Paris,20,3.0,0.0,63.98,699000.0,10925.0
644,appartement,Paris,12,4.0,3.0,68.0,614000.0,9029.0
645,appartement,Paris,7,6.0,3.0,185.0,3600000.0,19459.0
646,appartement,Paris,17,1.0,0.0,18.0,235000.0,13055.0
647,appartement,Paris,16,6.0,4.0,192.0,2300000.0,11979.0
648,appartement,Paris,20,2.0,0.0,41.71,465000.0,11148.0
649,appartement,Paris,19,2.0,1.0,36.0,296000.0,8222.0
650,appartement,Paris,17,1.0,1.0,23.0,249000.0,10826.0
651,appartement,Paris,3,2.0,1.0,36.95,515000.0,13937.0
652,appartement,Paris,16,3.0,1.0,71.38,1050000.0,14710.0
653,appartement,Paris,15,1.0,0.0,21.0,352073.0,16765.0
655,appartement,Paris,3,2.0,1.0,62.0,745000.0,12016.0
656,appartement,Paris,16,2.0,1.0,54.07,787500.0,14564.0
657,appartement,Paris,15,1.0,0.0,23.0,388307.0,16882.0
658,appartement,Paris,17,2.0,1.0,32.06,310000.0,9669.0
659,appartement,Paris,9,2.0,1.0,28.0,365000.0,13035.0
660,appartement,Paris,4,1.0,0.0,8.0,120000.0,15000.0
661,appartement,Paris,15,3.0,2.0,76.0,740000.0,9736.0
662,appartement,Paris,18,2.0,1.0,32.0,349000.0,10906.0
663,appartement,Paris,17,2.0,1.0,30.0,315000.0,10500.0
664,appartement,Paris,5,1.0,1.0,39.0,489000.0,12538.0
666,appartement,Paris,16,1.0,0.0,9.0,137000.0,15222.0
667,appartement,Paris,7,4.0,2.0,82.02,1150000.0,14020.0
668,appartement,Paris,15,1.0,0.0,24.0,390585.0,16274.0
669,appartement,Paris,13,2.0,1.0,42.23,420000.0,9945.0
670,appartement,Paris,10,4.0,3.0,108.25,1200000.0,11085.0
671,appartement,Paris,8,6.0,4.0,169.0,2310000.0,13668.0
672,appartement,Paris,15,5.0,3.0,101.71,1365000.0,13420.0
673,appartement,Paris,15,1.0,0.0,22.0,349356.0,15879.0
674,appartement,Paris,10,1.0,1.0,30.0,315000.0,10500.0
675,appartement,Paris,16,4.0,2.0,65.0,1518400.0,23360.0
676,appartement,Paris,15,3.0,2.0,83.17,1185000.0,14247.0
677,appartement,Paris,16,3.0,2.0,61.43,775000.0,12615.0
678,appartement,Paris,15,1.0,0.0,25.0,404457.0,16178.0
679,appartement,Paris,20,2.0,1.0,60.95,840000.0,13781.0
680,appartement,Paris,11,4.0,1.0,70.16,832000.0,11858.0
681,appartement,Paris,18,3.0,2.0,50.0,650000.0,13000.0
682,appartement,Paris,16,3.0,2.0,86.32,990000.0,11468.0
683,appartement,Paris,15,1.0,0.0,24.0,391023.0,16292.0
684,appartement,Paris,19,1.0,0.0,34.22,315000.0,9205.0
685,appartement,Paris,3,2.0,1.0,64.0,778000.0,12156.0
686,appartement,Paris,17,2.0,1.0,39.05,445000.0,11395.0
687,appartement,Paris,15,1.0,0.0,24.0,381700.0,15904.0
688,appartement,Paris,19,4.0,3.0,88.0,815000.0,9261.0
689,appartement,Paris,15,3.0,2.0,101.0,796000.0,7881.0
690,appartement,Paris,16,3.0,2.0,63.0,633000.0,10047.0
691,appartement,Paris,16,4.0,2.0,91.0,1025000.0,11263.0
692,appartement,Paris,11,2.0,1.0,25.6,297000.0,11601.0
693,appartement,Paris,16,3.0,1.0,38.0,340000.0,8947.0
694,appartement,Paris,12,5.0,3.0,178.0,1890000.0,10617.0
695,appartement,Paris,16,5.0,3.0,165.0,1980000.0,12000.0
696,appartement,Paris,17,2.0,1.0,38.0,420000.0,11052.0
697,appartement,Paris,15,3.0,2.0,60.05,890000.0,14820.0
698,appartement,Paris,15,1.0,0.0,25.0,412414.0,16496.0
699,appartement,Paris,20,3.0,2.0,93.65,770000.0,8222.0
700,appartement,Paris,10,1.0,1.0,27.86,299000.0,10732.0
701,appartement,Paris,4,2.0,1.0,29.72,347000.0,11675.0
702,appartement,Paris,17,4.0,3.0,74.09,925000.0,12484.0
703,appartement,Paris,15,1.0,0.0,24.0,385799.0,16074.0
704,appartement,Paris,18,1.0,1.0,17.53,243800.0,13907.0
705,appartement,Paris,6,3.0,2.0,85.0,1480000.0,17411.0
706,appartement,Paris,12,2.0,1.0,38.7,346500.0,8953.0
707,appartement,Paris,8,3.0,1.0,90.0,3150000.0,35000.0
708,appartement,Paris,15,1.0,0.0,24.0,394541.0,16439.0
709,appartement,Paris,3,2.0,1.0,30.29,530000.0,17497.0
711,appartement,Paris,14,1.0,0.0,26.0,245000.0,9423.0
712,appartement,Paris,16,4.0,2.0,93.81,1680000.0,17908.0
713,appartement,Paris,15,1.0,0.0,26.0,429245.0,16509.0
714,appartement,Paris,18,4.0,2.0,105.0,810000.0,7714.0
715,appartement,Paris,14,1.0,0.0,34.0,360000.0,10588.0
716,appartement,Paris,14,3.0,2.0,56.0,550000.0,9821.0
717,appartement,Paris,16,3.0,1.0,65.0,1150000.0,17692.0
718,appartement,Paris,15,3.0,0.0,48.0,775169.0,16149.0
719,appartement,Paris,14,3.0,2.0,53.0,560000.0,10566.0
720,appartement,Paris,14,5.0,3.0,117.0,1248000.0,10666.0
721,appartement,Paris,15,5.0,4.0,110.76,1095000.0,9886.0
722,appartement,Paris,15,2.0,1.0,39.05,465000.0,11907.0
723,appartement,Paris,20,1.0,0.0,22.0,234000.0,10636.0
724,appartement,Paris,15,2.0,1.0,52.0,540000.0,10384.0
725,appartement,Paris,15,5.0,4.0,198.0,2200000.0,11111.0
726,appartement,Paris,17,2.0,1.0,40.0,410000.0,10250.0
727,appartement,Paris,19,3.0,2.0,60.76,599000.0,9858.0
728,appartement,Paris,13,2.0,1.0,44.0,430000.0,9772.0
729,appartement,Paris,15,3.0,0.0,48.0,782685.0,16305.0
730,appartement,Paris,19,2.0,1.0,45.11,420000.0,9310.0
731,appartement,Paris,19,2.0,1.0,45.38,411000.0,9056.0
732,appartement,Paris,18,2.0,1.0,46.0,460000.0,10000.0
733,appartement,Paris,8,1.0,0.0,14.02,260000.0,18544.0
734,appartement,Paris,15,3.0,0.0,46.0,787586.0,17121.0
735,appartement,Paris,16,7.0,5.0,290.0,3224000.0,11117.0
736,appartement,Paris,19,2.0,0.0,36.0,598000.0,16611.0
737,appartement,Paris,18,2.0,1.0,23.0,329000.0,14304.0
738,appartement,Paris,16,3.0,2.0,72.52,1120000.0,15444.0
739,appartement,Paris,15,1.0,0.0,24.0,391343.0,16305.0
740,appartement,Paris,20,3.0,2.0,45.26,475000.0,10494.0
741,appartement,Paris,9,3.0,2.0,183.0,3900000.0,21311.0
743,appartement,Paris,6,8.0,4.0,170.75,2800000.0,16398.0
744,appartement,Paris,20,4.0,0.0,107.4,2400000.0,22346.0
746,appartement,Paris,16,4.0,2.0,99.0,1110000.0,11212.0
